STG,SCG,STR,LPR,PEG, UNS
0,0,0,0,0,Very_low
0.06,0.06,0.05,0.25,0.33,Low
0.08,0.08,0.08,0.98,0.24,Low
0.15,0.02,0.34,0.4,0.01,Very_low
0.2,0.14,0.35,0.72,0.25,Low
0.06,0.06,0.51,0.41,0.3,Low
0.05,0.07,0.7,0.01,0.05,Very_low
0.1,0.25,0.1,0.08,0.33,Low
0.15,0.32,0.05,0.27,0.29,Low
0.12,0.28,0.2,0.78,0.2,Low
0.18,0.31,0.32,0.42,0.28,Low
0.06,0.29,0.35,0.76,0.25,Low
0.04,0.28,0.55,0.25,0.1,Very_low
0.09,0.255,0.6,0.45,0.25,Low
0.15,0.295,0.75,0.65,0.24,Low
0.1,0.256,0.7,0.76,0.16,Low
0.06,0.35,0.12,0.43,0.29,Low
0.1,0.42,0.22,0.72,0.26,Low
0.18,0.4,0.32,0.08,0.33,Low
0.09,0.33,0.31,0.26,0,Very_low
0.02,0.33,0.36,0.76,0.1,Low
0.115,0.35,0.65,0.27,0.04,Very_low
0.06,0.5,0.09,0.28,0.25,Low
0.09,0.55,0.12,0.78,0.05,Low
0.1,0.6,0.33,0.42,0.26,Low
0.08,0.58,0.6,0.64,0.1,Low
0.09,0.61,0.53,0.75,0.01,Low
0.2,0.68,0.73,0.48,0.28,Low
0.25,0.1,0.03,0.09,0.15,Very_low
0.32,0.2,0.06,0.26,0.24,Very_low
0.28,0.1,0.12,0.28,0.32,Low
0.29,0.15,0.33,0.66,0.08,Very_low
0.255,0.18,0.5,0.4,0.1,Very_low
0.265,0.06,0.57,0.75,0.1,Low
0.275,0.1,0.72,0.1,0.3,Low
0.245,0.1,0.71,0.26,0.2,Very_low
0.295,0.2,0.86,0.44,0.28,Low
0.32,0.12,0.79,0.76,0.24,Low
0.25,0.29,0.15,0.48,0.26,Low
0.27,0.1,0.1,0.7,0.25,Low
0.248,0.3,0.31,0.2,0.03,Very_low
0.27,0.31,0.32,0.41,0.28,Low
0.29,0.29,0.4,0.78,0.18,Low
0.251,0.265,0.57,0.6,0.09,Very_low
0.288,0.31,0.79,0.23,0.24,Low
0.255,0.305,0.86,0.62,0.15,Low
0.295,0.25,0.73,0.77,0.19,Low
0.243,0.27,0.08,0.42,0.29,Low
0.27,0.28,0.18,0.48,0.26,Low
0.245,0.26,0.38,0.49,0.27,Low
0.295,0.29,0.31,0.76,0.1,Low
0.276,0.255,0.81,0.27,0.33,Low
0.258,0.31,0.88,0.4,0.3,Low
0.265,0.6,0.28,0.66,0.07,Very_low
0.28,0.65,0.4,0.65,0.13,Low
0.255,0.75,0.35,0.72,0.25,Low
0.305,0.55,0.5,0.11,0.333,Low
0.265,0.76,0.8,0.28,0.28,Low
0.255,0.72,0.72,0.63,0.14,Low
0.39,0.05,0.02,0.06,0.34,Low
0.45,0.04,0.18,0.55,0.07,Very_low
0.38,0.1,0.4,0.48,0.26,Low
0.37,0.06,0.32,0.78,0.1,Low
0.38,0.01,0.53,0.27,0.3,Low
0.33,0.04,0.5,0.55,0.1,Very_low
0.39,0.15,0.81,0.22,0.29,Low
0.365,0.243,0.19,0.24,0.35,Low
0.33,0.27,0.2,0.33,0.1,Very_low
0.345,0.299,0.1,0.64,0.13,Low
0.334,0.295,0.33,0.32,0.3,Low
0.36,0.29,0.37,0.48,0.13,Very_low
0.39,0.26,0.39,0.77,0.14,Low
0.348,0.329,0.83,0.61,0.18,Low
0.33,0.34,0.1,0.49,0.12,Very_low
0.35,0.38,0.32,0.6,0.16,Low
0.42,0.36,0.63,0.04,0.25,Low
0.4,0.42,0.58,0.75,0.16,Low
0.38,0.39,0.79,0.33,0.3,Low
0.39,0.42,0.83,0.65,0.19,Low
0.365,0.68,0.1,0.63,0.18,Low
0.37,0.55,0.41,0.29,0.3,Low
0.38,0.59,0.31,0.62,0.2,Low
0.49,0.64,0.34,0.78,0.21,Low
0.365,0.57,0.59,0.55,0.25,Low
0.55,0.1,0.27,0.25,0.29,Low
